family,rate,system,label,goodput_ttft10_tpot100,goodput_ttft10_tpot150,goodput_ttft10_tpot50,goodput_ttft3_tpot100,goodput_ttft3_tpot150,goodput_ttft3_tpot50,goodput_ttft5_tpot100,goodput_ttft5_tpot150,goodput_ttft5_tpot50,goodput_turn10,goodput_turn30,goodput_turn60,n_seeds,output_tokens_per_s,pass_ttft10_tpot100,pass_ttft10_tpot150,pass_ttft10_tpot50,pass_ttft3_tpot100,pass_ttft3_tpot150,pass_ttft3_tpot50,pass_ttft5_tpot100,pass_ttft5_tpot150,pass_ttft5_tpot50,pass_turn10,pass_turn30,pass_turn60,resume_ttft_p50_s,resume_ttft_p99_s,tpot_p50_ms,tpot_p99_ms,turn_latency_mean_s,turn_latency_p50_s,turn_latency_p99_s
claude,0.024,hbf_tp8_context,GPU+HBF (tp8_context),674.266,677.207,345.641,632.198,635.004,308.656,653.419,656.36,326.668,95.7598,235.476,366.464,2,739.953,0.911806,0.923933,0.527947,0.870303,0.881757,0.490871,0.892068,0.904196,0.50946,0.475767,0.744393,0.869852,0.296661,51.0444,39.4388,117.863,31.5364,10.8785,306.859
claude,0.024,oracle_infinite_hbm,Infinite-HBM oracle,759.933,759.937,592.904,702.086,702.091,544.196,733.737,733.742,570.471,85.3685,240.094,386.945,2,782.577,0.982031,0.983731,0.739261,0.920374,0.922073,0.692732,0.955433,0.957132,0.717842,0.491886,0.786382,0.894664,0.409533,17.946,35.3125,80.2224,26.7399,10.2764,263.082
claude,0.026,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,277.717,277.717,277.717,167.876,167.876,167.876,208.377,208.377,208.377,49.9253,155.136,290.579,2,644.348,0.537869,0.537869,0.537869,0.366811,0.366811,0.366811,0.440059,0.440059,0.440059,0.341921,0.592067,0.754397,7.49919,521.52,21.7641,27.8706,58.3761,20.4641,555.403
claude,0.026,hbf_tp4x2,GPU+HBF (tp4x2),616.269,647.454,372.326,537.111,567.297,306.756,570.99,601.725,332.297,79.6734,229.203,366.774,2,763.684,0.825173,0.867487,0.537958,0.732031,0.771257,0.459286,0.773934,0.814831,0.492307,0.428098,0.725611,0.858611,0.565503,92.2528,32.6638,141.496,32.9233,12.8727,312.441
claude,0.026,hbf_tp8_context,GPU+HBF (tp8_context),671.398,676.53,381.396,614.784,619.904,332.25,637.828,642.96,350.874,92.4527,236.974,383.518,2,776.857,0.8813,0.899461,0.551819,0.821683,0.83965,0.496949,0.848844,0.867005,0.520622,0.461432,0.736547,0.865584,0.321366,66.8314,34.8406,120.662,31.3162,11.538,295.468
claude,0.026,oracle_infinite_hbm,Infinite-HBM oracle,771.914,778.073,571.674,713.851,719.283,528.737,749.041,754.965,553.848,87.2257,245.307,385.942,2,802.876,0.966762,0.977475,0.688462,0.906893,0.916428,0.649415,0.941482,0.951799,0.671512,0.479995,0.77499,0.887069,0.418826,28.2447,38.8184,96.6178,28.1554,10.6152,281.054
claude,0.028,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,301.371,301.371,301.371,167.186,167.186,167.186,218.783,218.783,218.783,50.7236,164.172,310.608,2,678.565,0.534933,0.534933,0.534933,0.351185,0.351185,0.351185,0.424842,0.424842,0.424842,0.332565,0.596693,0.767332,7.94482,680.258,21.9216,28.9859,59.7636,20.0613,693.074
claude,0.028,hbf_tp4x2,GPU+HBF (tp4x2),558.796,652.363,423.411,481.218,570.733,356.202,514.925,607.865,383.341,83.5192,233.131,372.095,2,775.047,0.748005,0.854146,0.572736,0.663825,0.764341,0.500991,0.701309,0.806115,0.530753,0.426708,0.707616,0.84209,0.553585,94.9365,27.0643,147.225,35.5782,13.6216,329.116
claude,0.028,hbf_tp8_context,GPU+HBF (tp8_context),637.056,664.142,384.465,567.322,594.265,319.173,597.111,624.181,346.686,85.2252,230.032,374.765,2,790.533,0.820576,0.869567,0.534256,0.749981,0.798263,0.467406,0.781179,0.830067,0.496073,0.434308,0.71343,0.852906,0.381201,72.8727,33.3801,130.895,34.0111,13.0617,310.376
claude,0.028,oracle_infinite_hbm,Infinite-HBM oracle,778.975,780.872,522.168,717.057,718.879,479.612,752.566,754.393,501.026,68.9302,221.983,352.262,2,805.063,0.964098,0.974675,0.631592,0.904035,0.913732,0.593533,0.939027,0.949408,0.614328,0.431707,0.749676,0.870197,0.42617,25.5133,44.399,95.5837,31.6778,12.3735,295.923
claude,0.03,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,309.408,309.408,309.408,181.582,181.582,181.582,235.154,235.154,235.154,53.7868,171.823,329.567,2,728.765,0.532785,0.532785,0.532785,0.355004,0.355004,0.355004,0.429466,0.429466,0.429466,0.335994,0.590317,0.766216,7.79152,510.209,22.0804,28.3128,56.555,20.4874,533.716
claude,0.03,hbf_tp4x2,GPU+HBF (tp4x2),582.266,662.459,383.617,509.157,585.189,321.708,545.145,624.686,348.229,82.3043,232.604,371.851,2,814.534,0.742906,0.837247,0.502448,0.661998,0.749129,0.430518,0.700507,0.792949,0.463307,0.407573,0.688992,0.824666,0.571703,118.569,33.5021,199.171,39.2838,14.3493,345.31
claude,0.03,hbf_tp8_context,GPU+HBF (tp8_context),588.941,678.308,334.136,524.503,611.977,275.198,555.229,643.409,302.845,72.4476,205.652,338.533,2,785.331,0.768392,0.880791,0.460246,0.711908,0.822354,0.408415,0.74101,0.85276,0.433948,0.398685,0.679824,0.820193,0.35045,108.708,46.1182,147.203,39.7812,14.7988,356.952
claude,0.03,oracle_infinite_hbm,Infinite-HBM oracle,669.778,785.527,492.421,622.023,733.435,455.371,652.144,766.308,478.275,70.1698,210.787,343.789,2,814.044,0.838049,0.975026,0.592601,0.781242,0.912955,0.552154,0.814296,0.950343,0.57594,0.421518,0.729479,0.857033,0.43657,33.9099,44.6143,112.389,35.1571,13.218,364.473
claude,0.032,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,310.631,310.631,310.631,182.738,182.738,182.738,228.058,228.058,228.058,53.9282,173.938,326.674,2,742.265,0.52859,0.52859,0.52859,0.349859,0.349859,0.349859,0.421272,0.421272,0.421272,0.332965,0.593609,0.764162,8.34268,662.31,22.0661,28.2169,57.9966,20.3775,652.416
claude,0.032,hbf_tp4x2,GPU+HBF (tp4x2),616.242,686.661,317.011,530.752,596.242,244.438,568.713,638.112,275.316,76.4412,214.183,350.151,2,830.623,0.768867,0.858434,0.451662,0.675228,0.759057,0.373123,0.717376,0.804775,0.4055,0.398617,0.681034,0.815766,0.620505,132.498,37.7128,183.736,40.9528,14.8113,373.465
claude,0.032,hbf_tp8_context,GPU+HBF (tp8_context),535.52,657.251,349.637,473.69,594.213,290.791,502.617,624.347,317.819,64.6194,189.855,320.274,2,802.235,0.697912,0.837988,0.470385,0.628317,0.767022,0.405207,0.663577,0.803538,0.4365,0.37918,0.653353,0.797145,0.409867,133.821,43.2081,166.093,43.8396,16.3359,382.72
claude,0.032,oracle_infinite_hbm,Infinite-HBM oracle,793.679,796.767,221.72,735.719,738.461,207.897,769.881,772.72,213.206,55.3364,188.337,315.774,2,830.475,0.957328,0.974195,0.308367,0.895535,0.911034,0.291182,0.933562,0.949378,0.301595,0.366475,0.701465,0.840753,0.433817,29.7603,61.2938,97.7267,38.4457,14.5589,361.697
claude,0.036,baseline_cpu_ssd,2xGPU + CPU/SSD tiering,271.803,271.803,271.803,135.333,135.333,135.333,189.583,189.583,189.583,47.5071,162.223,341.805,2,821.257,0.444117,0.444117,0.444117,0.266162,0.266162,0.266162,0.336884,0.336884,0.336884,0.275013,0.539233,0.743246,13.6389,481.814,22.4098,27.8363,57.4187,25.6987,496.508
claude,0.036,hbf_tp4x2,GPU+HBF (tp4x2),493.578,579.707,405.32,401.82,483.85,319.091,443.739,529.038,356.435,74.0851,213.446,344.035,2,845.641,0.620654,0.718905,0.504907,0.532974,0.625369,0.424042,0.573387,0.669699,0.460242,0.374936,0.6469,0.789934,0.637131,216.094,27.8564,265.765,49.9368,16.5286,562.376
claude,0.036,hbf_tp8_context,GPU+HBF (tp8_context),506.832,660.307,285.974,424.985,575.667,210.81,461.379,614.493,242.613,69.8374,193.772,329.073,2,862.818,0.663262,0.818033,0.401922,0.579168,0.731858,0.323352,0.618538,0.772962,0.358344,0.369698,0.648909,0.791179,0.476265,234.363,35.7603,204.513,50.4619,16.6719,542.144
claude,0.036,oracle_infinite_hbm,Infinite-HBM oracle,716.82,842.308,180.842,665.924,783.12,172.296,698.065,819.652,178.003,43.1394,174.549,296.924,2,873.275,0.799597,0.965571,0.231311,0.746726,0.897421,0.217053,0.779462,0.93897,0.225634,0.313883,0.669883,0.815727,0.452811,33.2698,71.6363,125.876,45.4095,17.4826,444.161
codex,0.0075,baseline_cpu_ssd,3xGPU + CPU/SSD tiering,476.002,476.002,476.002,444.961,444.961,444.961,461.34,461.34,461.34,322.768,463.91,507.249,2,520.286,0.930708,0.930708,0.930708,0.879663,0.879663,0.879663,0.9074,0.9074,0.9074,0.87802,0.972414,0.997526,0.373857,33.312,5.65889,14.2771,4.88917,1.95963,39.8334
codex,0.0075,hbf_tp4x2,"GPU+2xHBF hybrid (1:2, tp4x2)",472.49,472.605,471.422,433.515,433.63,432.59,448.311,448.425,447.303,313.937,457.947,500.501,2,515.703,0.925665,0.926301,0.922568,0.862976,0.863612,0.860159,0.887516,0.888151,0.884559,0.860689,0.978735,0.997185,0.223646,28.6736,5.04842,28.4784,4.92335,1.75049,39.8427
