family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
codex,0.004,hbf_prefill_p4d4,16k_64k,8361,1.571862,0.183275,2.282783,8.41568,4.140758,9.784587
codex,0.004,hbf_prefill_p4d4,256k_512k,1,0.601052,0.601052,0.601052,0.601052,2.112037,2.112037
codex,0.004,hbf_prefill_p4d4,64k_128k,15244,1.764966,0.301599,2.853907,9.64082,4.220651,10.010715
codex,0.004,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.004,hbf_prefill_p4d4,lt_16k,2387,9.722281,2.665574,30.452895,38.923366,13.272049,37.098663
codex,0.004,oracle_infinite_hbm,128k_256k,19164,1.970544,0.484157,3.655148,10.138408,4.506349,11.092006
codex,0.004,oracle_infinite_hbm,16k_64k,8363,1.318233,0.174273,1.80973,6.27926,3.875488,9.244537
codex,0.004,oracle_infinite_hbm,256k_512k,1,0.545132,0.545132,0.545132,0.545132,2.353066,2.353066
codex,0.004,oracle_infinite_hbm,64k_128k,15266,1.59772,0.299289,2.839599,8.077886,4.049072,9.793082
codex,0.004,oracle_infinite_hbm,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.004,oracle_infinite_hbm,lt_16k,2390,8.968722,2.24625,28.883193,37.097656,12.493105,35.333151
