family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
codex,0.002,baseline_cpu_ssd,5m_30m,626,4.691711,0.747494,15.966285,24.73053,7.23827,22.293379
codex,0.002,baseline_cpu_ssd,gt_12h,16,1.227083,0.443948,2.887278,3.597548,3.606446,6.925107
codex,0.002,baseline_cpu_ssd,lt_1m,19057,0.932148,0.286624,1.362197,2.928589,2.752255,6.074776
codex,0.002,hbf_prefill_p4d4,1h_4h,42,6.748611,0.623499,24.202902,28.468994,9.035018,26.761807
codex,0.002,hbf_prefill_p4d4,1m_5m,1103,3.316584,0.432441,9.533031,23.101076,5.219887,14.953031
codex,0.002,hbf_prefill_p4d4,30m_1h,68,5.660283,1.008336,13.78112,24.025014,8.040157,17.039938
codex,0.002,hbf_prefill_p4d4,4h_12h,18,8.429164,6.059867,21.764711,23.95482,11.328857,24.460232
codex,0.002,hbf_prefill_p4d4,5m_30m,625,5.276174,0.922936,18.464082,26.094806,7.869142,24.441983
codex,0.002,hbf_prefill_p4d4,gt_12h,16,1.918415,0.767098,4.909507,5.449192,4.380839,8.498022
codex,0.002,hbf_prefill_p4d4,lt_1m,19041,0.983775,0.293945,1.445035,3.143405,2.810046,6.128975
codex,0.002,oracle_infinite_hbm,1h_4h,42,8.341375,1.018225,27.111747,31.235721,10.848655,30.187746
codex,0.002,oracle_infinite_hbm,1m_5m,1105,2.965392,0.448519,8.252275,20.294453,4.845349,13.352354
codex,0.002,oracle_infinite_hbm,30m_1h,68,4.733267,1.018729,11.524329,20.688558,7.108703,16.262358
codex,0.002,oracle_infinite_hbm,4h_12h,18,6.317945,5.609487,14.727666,16.760216,9.470459,17.708435
codex,0.002,oracle_infinite_hbm,5m_30m,625,4.666705,0.776253,16.314251,24.593431,7.230495,22.388126
codex,0.002,oracle_infinite_hbm,gt_12h,16,0.902241,0.181116,2.4443,3.36799,3.358169,6.856666
codex,0.002,oracle_infinite_hbm,lt_1m,19057,0.924028,0.287275,1.353867,2.891853,2.747699,6.094301
codex,0.004,baseline_cpu_ssd,1h_4h,105,8.948449,1.758559,25.669652,31.214099,11.997321,30.58957
codex,0.004,baseline_cpu_ssd,1m_5m,2252,5.282417,0.63236,19.084586,27.540245,8.063827,23.980746
codex,0.004,baseline_cpu_ssd,30m_1h,133,8.532184,1.654539,27.173364,38.516956,11.941259,31.859923
codex,0.004,baseline_cpu_ssd,4h_12h,36,6.14681,1.628978,17.943913,22.797117,10.06676,22.446336
codex,0.004,baseline_cpu_ssd,5m_30m,1169,7.099856,1.43676,22.98968,32.305425,10.625633,29.658859
codex,0.004,baseline_cpu_ssd,gt_12h,43,2.576115,0.963418,7.466147,10.052196,6.737839,15.135647
codex,0.004,baseline_cpu_ssd,lt_1m,41435,1.734087,0.346743,2.862085,8.73748,4.213098,10.075133
codex,0.004,hbf_prefill_p4d4,1h_4h,104,9.280741,1.669877,29.318734,35.023785,12.524779,33.322941
codex,0.004,hbf_prefill_p4d4,1m_5m,2245,5.918546,0.679735,21.345073,29.276623,8.731155,25.951851
codex,0.004,hbf_prefill_p4d4,30m_1h,133,9.709702,2.838365,30.544531,36.29053,13.205918,34.998729
codex,0.004,hbf_prefill_p4d4,4h_12h,36,5.176435,0.881872,17.681647,21.826178,9.072763,24.614172
codex,0.004,hbf_prefill_p4d4,5m_30m,1169,7.382849,1.543996,24.513306,33.614561,11.008412,29.28852
codex,0.004,hbf_prefill_p4d4,gt_12h,43,1.706088,0.795497,5.134875,6.873239,5.489853,12.297359
codex,0.004,hbf_prefill_p4d4,lt_1m,41383,1.954921,0.35997,3.348039,10.693768,4.47585,10.765396
codex,0.004,oracle_infinite_hbm,1h_4h,105,9.506571,1.628868,27.474451,36.015183,12.693621,33.602004
codex,0.004,oracle_infinite_hbm,1m_5m,2250,5.150264,0.605799,18.225771,27.067823,7.989974,23.492636
codex,0.004,oracle_infinite_hbm,30m_1h,133,8.01364,1.326299,26.655182,33.602061,11.325645,31.729927
codex,0.004,oracle_infinite_hbm,4h_12h,36,5.149261,2.331455,12.470158,18.142085,9.042108,17.736888
codex,0.004,oracle_infinite_hbm,5m_30m,1170,6.977525,1.417127,23.744789,31.558832,10.517326,30.026764
codex,0.004,oracle_infinite_hbm,gt_12h,43,3.051361,0.505398,6.683237,14.535076,6.982376,14.816302
codex,0.004,oracle_infinite_hbm,lt_1m,41447,1.749134,0.350087,3.048124,8.790363,4.260713,10.320132
