pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=32,sr>70%,kvB<=1k,kp=0,0.3706,4
16,n<=32,sr>70%,kvB<=4k,kp<=1k,0.1393,4
16,n<=32,sr>70%,kvB<=4k,kp<=2k,0.2081,4
16,n<=32,sr>70%,kvB<=4k,kp<=4k,0.2593,4
16,n<=32,sr>70%,kvB<=4k,kp<=512,0.1028,4
16,n<=32,sr>70%,kvB<=4k,kp<=8k,0.26,4
16,n<=32,sr>70%,kvB<=4k,kp=0,0.115,4
16,n<=4,sr<=40%,kvB<=16k,kp<=1k,0.9694,2
16,n<=4,sr<=40%,kvB<=16k,kp<=2k,0.9711,2
16,n<=4,sr<=40%,kvB<=16k,kp<=4k,0.9727,2
16,n<=4,sr<=40%,kvB<=16k,kp<=512,0.9704,2
16,n<=4,sr<=40%,kvB<=16k,kp<=8k,0.9781,2
16,n<=4,sr<=40%,kvB<=16k,kp=0,0.9749,2
16,n<=4,sr<=40%,kvB<=1k,kp<=1k,0.2108,2
16,n<=4,sr<=40%,kvB<=1k,kp<=2k,-0.3363,2
16,n<=4,sr<=40%,kvB<=1k,kp<=4k,0.1184,2
16,n<=4,sr<=40%,kvB<=1k,kp<=512,0.9448,2
16,n<=4,sr<=40%,kvB<=1k,kp<=8k,0.2138,2
16,n<=4,sr<=40%,kvB<=1k,kp=0,0.9594,5
16,n<=4,sr<=40%,kvB<=4k,kp<=1k,0.9614,2
16,n<=4,sr<=40%,kvB<=4k,kp<=2k,0.9492,2
16,n<=4,sr<=40%,kvB<=4k,kp<=4k,-0.4311,2
16,n<=4,sr<=40%,kvB<=4k,kp<=512,0.9642,2
16,n<=4,sr<=40%,kvB<=4k,kp<=8k,-0.5955,2
16,n<=4,sr<=40%,kvB<=4k,kp=0,0.9647,3
16,n<=4,sr<=70%,kvB<=16k,kp<=1k,0.9658,2
16,n<=4,sr<=70%,kvB<=16k,kp<=2k,0.9615,2
16,n<=4,sr<=70%,kvB<=16k,kp<=4k,0.9663,2
16,n<=4,sr<=70%,kvB<=16k,kp<=512,0.9733,2
16,n<=4,sr<=70%,kvB<=16k,kp<=8k,0.9605,2
16,n<=4,sr<=70%,kvB<=16k,kp=0,0.9611,2
16,n<=4,sr<=70%,kvB<=1k,kp<=1k,-0.2877,2
16,n<=4,sr<=70%,kvB<=1k,kp<=2k,0.2463,2
16,n<=4,sr<=70%,kvB<=1k,kp<=4k,0.2966,2
16,n<=4,sr<=70%,kvB<=1k,kp<=512,0.9564,2
16,n<=4,sr<=70%,kvB<=1k,kp<=8k,-0.3918,1
16,n<=4,sr<=70%,kvB<=1k,kp=0,0.9604,4
16,n<=4,sr<=70%,kvB<=4k,kp<=1k,0.9566,2
