prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,64,1,4096,89.7497
16,64,1,8192,172.266
16,64,1,16384,337.899
16,64,2,16,7.81867
16,64,2,32,7.829
16,64,2,64,8.022
16,64,2,128,9.76967
16,64,2,256,12.257
16,64,2,512,17.4613
16,64,2,1024,28.107
16,64,2,2048,49.866
16,64,2,4096,94.1767
16,64,2,8192,181.44
16,64,2,16384,357.932
16,64,4,16,7.88233
16,64,4,32,7.947
16,64,4,64,8.064
16,64,4,128,9.76033
16,64,4,256,12.3203
16,64,4,512,17.7063
16,64,4,1024,28.5333
16,64,4,2048,51.104
16,64,4,4096,95.7343
16,64,4,8192,185.013
16,64,4,16384,363.372
16,64,8,16,12.1707
16,64,8,32,12.3737
16,64,8,64,12.491
16,64,8,128,16.2453
16,64,8,256,21.7603
16,64,8,512,32.2347
16,64,8,1024,54.3463
16,64,8,2048,98.3037
16,64,8,4096,184.491
16,64,8,8192,357.538
16,64,8,16384,717.174
16,64,16,16,16.373
16,64,16,32,16.5657
16,64,16,64,16.8747
16,64,16,128,23.584
16,64,16,256,31.841
16,64,16,512,48.309
16,64,16,1024,81.5787
16,64,16,2048,146.422
16,64,16,4096,276.011
16,64,16,8192,539.628
16,64,16,16384,1082.82
16,64,32,16,28.4697
16,64,32,32,28.6937
16,64,32,64,29.3653
16,64,32,128,43.8193
16,64,32,256,60.352
16,64,32,512,92.2773
16,64,32,1024,156.321
16,64,32,2048,284.171
16,64,32,4096,539.276
16,64,32,8192,1096.05
16,64,32,16384,2176.91
16,64,64,16,51.68
16,64,64,32,52.3733
16,64,64,64,53.387
16,64,64,128,81.814
16,64,64,256,112.608
16,64,64,512,174.433
16,64,64,1024,297.27
16,64,64,2048,539.98
16,64,64,4096,1208.4
16,64,64,8192,2465.14
16,64,64,16384,4938.13
16,64,128,16,94.443
16,64,128,32,95.6807
16,64,128,64,98.763
16,64,128,128,159.35
16,64,128,256,232.033
16,64,128,512,372.812
16,64,128,1024,644.632
16,64,128,2048,1306.53
16,64,128,4096,4090.73
16,64,128,8192,8220.69
16,64,128,16384,21097.6
16,128,0,0,10.4
16,128,1,16,9.696
16,128,1,32,9.664
16,128,1,64,9.77067
16,128,1,128,10.2083
16,128,1,256,12.1497
16,128,1,512,17.1523
16,128,1,1024,27.5197
16,128,1,2048,48.245
16,128,1,4096,89.4827
16,128,1,8192,172.011
16,128,1,16384,336.588
16,128,2,16,9.70667
16,128,2,32,9.76033
16,128,2,64,9.72833
16,128,2,128,10.122
16,128,2,256,12.1067
16,128,2,512,17.3547
16,128,2,1024,27.8933
16,128,2,2048,49.878
16,128,2,4096,93.8457
16,128,2,8192,181.686
16,128,2,16384,357.771
16,128,4,16,9.64267
16,128,4,32,9.792
16,128,4,64,9.80267
16,128,4,128,10.1757
16,128,4,256,12.2667
16,128,4,512,17.493
16,128,4,1024,28.5443
16,128,4,2048,51.2427
16,128,4,4096,95.584
16,128,4,8192,185.152
16,128,4,16384,364.545
16,128,8,16,14.7627
16,128,8,32,14.784
16,128,8,64,14.8803
16,128,8,128,17.376
16,128,8,256,21.846
16,128,8,512,32.3737
16,128,8,1024,54.613
16,128,8,2048,98.07
16,128,8,4096,183.787
16,128,8,8192,357.569
16,128,8,16384,717.506
16,128,16,16,18.9017
16,128,16,32,19.168
16,128,16,64,19.36
16,128,16,128,24.256
16,128,16,256,31.9467
16,128,16,512,48.352
16,128,16,1024,81.717
16,128,16,2048,146.241
16,128,16,4096,275.851
16,128,16,8192,539.756
16,128,16,16384,1084.17
16,128,32,16,30.848
16,128,32,32,31.1257
16,128,32,64,31.7653
16,128,32,128,44.4163
16,128,32,256,60.2347
16,128,32,512,92.3527
16,128,32,1024,156.523
16,128,32,2048,283.841
16,128,32,4096,539.18
16,128,32,8192,1098.42
16,128,32,16384,2175.15
16,128,64,16,51.8087
16,128,64,32,52.7253
16,128,64,64,54.0693
16,128,64,128,83.5313
16,128,64,256,114.336
16,128,64,512,175.99
16,128,64,1024,299.553
16,128,64,2048,542.903
16,128,64,4096,1211.64
16,128,64,8192,2468.76
16,128,64,16384,4932.1
16,128,128,16,95.6483
16,128,128,32,96.715
16,128,128,64,99.2863
16,128,128,128,160.78
16,128,128,256,233.046
16,128,128,512,373.932
16,128,128,1024,646.51
16,128,128,2048,1304.9
16,128,128,4096,4089.88
16,128,128,8192,8214.53
16,128,128,16384,21035.9
16,256,0,0,12.8537
16,256,1,16,12.3627
16,256,1,32,12.363
16,256,1,64,12.3627
16,256,1,128,12.3093
16,256,1,256,12.5863
16,256,1,512,17.142
16,256,1,1024,27.552
16,256,1,2048,48.266
16,256,1,4096,89.5257
16,256,1,8192,172.597
16,256,1,16384,337.323
16,256,2,16,12.2887
16,256,2,32,12.3517
16,256,2,64,12.3627
16,256,2,128,12.2243
16,256,2,256,12.5127
16,256,2,512,17.3547
16,256,2,1024,27.968
16,256,2,2048,49.867
16,256,2,4096,94.005
16,256,2,8192,182.006
16,256,2,16384,357.685
16,256,4,16,12.2987
16,256,4,32,12.502
16,256,4,64,12.502
16,256,4,128,12.2877
16,256,4,256,12.5443
16,256,4,512,17.461
16,256,4,1024,28.576
16,256,4,2048,51.2533
16,256,4,4096,95.819
16,256,4,8192,184.821
16,256,4,16384,363.776
16,256,8,16,17.1733
16,256,8,32,17.4717
16,256,8,64,17.312
16,256,8,128,19.8827
16,256,8,256,22.8373
16,256,8,512,32.4477
16,256,8,1024,54.5923
16,256,8,2048,98.017
16,256,8,4096,184.33
16,256,8,8192,357.889
16,256,8,16384,717.291
16,256,16,16,21.7273
16,256,16,32,21.675
16,256,16,64,21.888
16,256,16,128,26.7627
16,256,16,256,32.3843
16,256,16,512,48.182
16,256,16,1024,81.824
16,256,16,2048,146.315
16,256,16,4096,275.958
