prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,512,4,4096,96.427
16,512,4,5832,138.315
16,512,4,8192,185.408
16,512,4,8748,204.779
16,512,4,13122,303.957
16,512,4,16384,379.596
16,512,8,16,22.592
16,512,8,32,22.528
16,512,8,64,22.581
16,512,8,128,24.96
16,512,8,256,27.9787
16,512,8,512,34.859
16,512,8,768,45.408
16,512,8,1024,55.04
16,512,8,1152,63.1673
16,512,8,1728,86.379
16,512,8,2048,98.539
16,512,8,2592,125.152
16,512,8,3888,181.653
16,512,8,4096,184.843
16,512,8,5832,267.115
16,512,8,8192,359.351
16,512,8,8748,396.694
16,512,8,13122,594.454
16,512,8,16384,750.871
16,512,16,16,27.061
16,512,16,32,27.093
16,512,16,64,27.5947
16,512,16,128,32.2987
16,512,16,256,37.963
16,512,16,512,51.125
16,512,16,768,68.4267
16,512,16,1024,82.1863
16,512,16,1152,94.219
16,512,16,1728,128.96
16,512,16,2048,147.094
16,512,16,2592,188.139
16,512,16,3888,272.374
16,512,16,4096,275.883
16,512,16,5832,399.926
16,512,16,8192,541.324
16,512,16,8748,602.21
16,512,16,13122,909.014
16,512,16,16384,1136.7
16,512,32,16,39.3813
16,512,32,32,39.4027
16,512,32,64,40.1283
16,512,32,128,52.5553
16,512,32,256,66.133
16,512,32,512,97.5893
16,512,32,768,130.379
16,512,32,1024,157.611
16,512,32,1152,181.109
16,512,32,1728,249.707
16,512,32,2048,285.59
16,512,32,2592,366.134
16,512,32,3888,531.776
16,512,32,4096,541.505
16,512,32,5832,801.751
16,512,32,8192,1105.06
16,512,32,8748,1219.78
16,512,32,13122,1751
16,512,32,16384,2272.63
16,512,64,16,62.069
16,512,64,32,62.7413
16,512,64,64,63.8933
16,512,64,128,87.637
16,512,64,256,116.235
16,512,64,512,185.942
16,512,64,768,250.87
16,512,64,1024,302.39
16,512,64,1152,347.052
16,512,64,1728,476.855
16,512,64,2048,549.847
16,512,64,2592,707.735
16,512,64,3888,1162.82
16,512,64,4096,1218.08
16,512,64,5832,1809.12
16,512,64,8192,2476.04
16,512,64,8748,2628.81
16,512,64,13122,3984.61
16,512,64,16384,4982.01
16,512,128,16,104.48
16,512,128,32,105.355
16,512,128,64,108.31
16,512,128,128,164.416
16,512,128,256,232.182
16,512,128,512,375.052
16,512,128,768,513.644
16,512,128,1024,645.709
16,512,128,1152,714.349
16,512,128,1728,1013.49
16,512,128,2048,1296.57
16,512,128,2592,2057.51
16,512,128,3888,3888.58
16,512,128,4096,4094.76
16,512,128,5832,5802.15
