pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,-0.144,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,-0.1521,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,-0.1502,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.2895,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.0189,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.3743,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.3273,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.2422,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,-0.232,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.3302,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,-0.2331,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.3286,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,-0.0664,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,-0.0658,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,-0.0611,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,-0.0692,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,-0.14,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0646,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,-0.7126,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,-0.6266,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,-0.6677,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.035,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,-0.4636,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.0681,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,-0.0147,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,-0.0825,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.864,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,-0.0194,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.8717,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,-0.016,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.8835,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.9058,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.9908,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,0.8733,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,1.038,4
16,n<=16,sr>70%,kvB<=16k,kp=0,0.8974,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.773,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.6789,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.7567,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.8837,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.6226,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.9155,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.959,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,1.0111,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.888,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.949,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,0.8549,4
16,n<=16,sr>70%,kvB<=4k,kp=0,0.9556,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,1.0069,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,1.0071,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.9984,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,1.0124,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,1.0054,1
16,n<=2,sr<=70%,kvB<=16k,kp=0,1.0072,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.0295,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.75,1
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.0381,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.9785,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.9932,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.987,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.9903,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-0.1454,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,1.0035,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.5143,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9951,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.2309,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.2423,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.2453,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.2258,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.1777,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.2294,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.079,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0397,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0541,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.2377,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,-0.0039,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.316,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.27,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.1995,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0258,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.2725,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,-0.0152,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.2514,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.2499,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.2651,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.2855,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.285,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.2434,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.2887,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.1669,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.166,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1578,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.3643,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.124,2
