family,rate,system,bucket,resume_count,resume_ttft_mean_s,resume_ttft_p50_s,resume_ttft_p90_s,resume_ttft_p95_s,turn_latency_mean_s,turn_latency_p90_s
codex,0.00025,oracle_infinite_hbm,lt_16k,736,4.628625,0.483158,17.541973,26.02194,6.59617,21.400177
codex,0.0005,baseline_cpu_ssd,128k_256k,6158,0.621224,0.394614,1.146419,1.847707,2.26273,4.995746
codex,0.0005,baseline_cpu_ssd,16k_64k,2936,0.267139,0.122842,0.512559,0.784811,1.979289,4.194763
codex,0.0005,baseline_cpu_ssd,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,baseline_cpu_ssd,64k_128k,5396,0.412989,0.219079,0.719198,1.232172,1.93978,4.161957
codex,0.0005,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,baseline_cpu_ssd,lt_16k,808,4.897954,0.337571,19.155715,27.828309,6.967168,23.81251
codex,0.0005,hbf_prefill_p4d4,128k_256k,6158,0.636301,0.3967,1.166865,1.911864,2.27901,5.032532
codex,0.0005,hbf_prefill_p4d4,16k_64k,2936,0.285082,0.127466,0.570079,0.888367,1.996375,4.151292
codex,0.0005,hbf_prefill_p4d4,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,hbf_prefill_p4d4,64k_128k,5396,0.418504,0.222476,0.732272,1.260986,1.943972,4.160748
codex,0.0005,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,hbf_prefill_p4d4,lt_16k,808,5.344916,0.460318,20.786469,29.721101,7.402211,25.312353
codex,0.0005,oracle_infinite_hbm,128k_256k,6158,0.62029,0.394838,1.145224,1.847707,2.262091,4.995746
codex,0.0005,oracle_infinite_hbm,16k_64k,2936,0.258791,0.122668,0.509317,0.782656,1.970925,4.192191
codex,0.0005,oracle_infinite_hbm,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,oracle_infinite_hbm,64k_128k,5396,0.41353,0.218782,0.718347,1.231585,1.940254,4.160088
codex,0.0005,oracle_infinite_hbm,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.0005,oracle_infinite_hbm,lt_16k,808,4.897512,0.326731,19.155715,27.850165,6.966662,23.81251
codex,0.001,baseline_cpu_ssd,128k_256k,6716,0.732799,0.413251,1.29116,2.14361,2.270808,5.102636
codex,0.001,baseline_cpu_ssd,16k_64k,2630,0.309162,0.133102,0.58965,0.954816,2.103759,4.615589
codex,0.001,baseline_cpu_ssd,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,baseline_cpu_ssd,64k_128k,5550,0.48625,0.237433,0.829976,1.50803,2.011121,4.417287
codex,0.001,baseline_cpu_ssd,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,baseline_cpu_ssd,lt_16k,743,5.110563,0.469469,19.052403,27.646263,7.193797,22.818166
codex,0.001,hbf_prefill_p4d4,128k_256k,6716,0.755507,0.417648,1.325976,2.228002,2.297788,5.173451
codex,0.001,hbf_prefill_p4d4,16k_64k,2630,0.381234,0.137352,0.711465,1.145307,2.17937,4.695438
codex,0.001,hbf_prefill_p4d4,256k_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,hbf_prefill_p4d4,64k_128k,5550,0.515965,0.240492,0.891011,1.631516,2.040227,4.444005
codex,0.001,hbf_prefill_p4d4,gt_512k,0,0.0,0.0,0.0,0.0,0.0,0.0
codex,0.001,hbf_prefill_p4d4,lt_16k,743,5.513203,0.557999,20.387118,29.328089,7.607184,24.510523
codex,0.001,oracle_infinite_hbm,128k_256k,6716,0.732079,0.413627,1.293265,2.154317,2.270465,5.117216
